date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:18:43	52/52	---MCZ	200	added ('OK')	text/plain	date:Mon,%2031%20Jul%202023%2009:18:43%20GMT	https://almuzakki-or-id.translate.goog/robots.txt		(from )
02:18:45	23451/23451	---MCZ	200	added ('OK')	text/html	date:Mon,%2031%20Jul%202023%2009:18:44%20GMT	https://almuzakki-or-id.translate.goog/?_x_tr_sl=auto&_x_tr_tl=en&_x_tr_hl=en&_x_tr_pto=wapp	D:/Cloned%20Templates/orphanage-4/almuzakki-or-id.translate.goog/index1901.html	(from )
02:18:45	140936/140936	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:06%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/4.1.3/css/bootstrap.min.css	D:/Cloned%20Templates/orphanage-4/maxcdn.bootstrapcdn.com/bootstrap/4.1.3/css/bootstrap.min.css	(from https://almuzakki-or-id.translate.goog/?_x_tr_sl=auto&_x_tr_tl=en&_x_tr_hl=en&_x_tr_pto=wapp)
02:18:46	14440/14440	---M-Z	200	added ('OK')	text/css	etag:%221301eba-3868-5ead7a698660d-gzip%22	https://cdn.datatables.net/1.11.3/css/jquery.dataTables.min.css	D:/Cloned%20Templates/orphanage-4/cdn.datatables.net/1.11.3/css/jquery.dataTables.min.css	(from https://almuzakki-or-id.translate.goog/?_x_tr_sl=auto&_x_tr_tl=en&_x_tr_hl=en&_x_tr_pto=wapp)
02:18:47	50723/50723	---M-Z	200	added ('OK')	text/css	date:Wed,%2001%20Dec%202021%2022:28:28%20GMT	https://almuzakki.or.id/css/style.css	D:/Cloned%20Templates/orphanage-4/almuzakki.or.id/css/style.css	(from https://almuzakki-or-id.translate.goog/?_x_tr_sl=auto&_x_tr_tl=en&_x_tr_hl=en&_x_tr_pto=wapp)
02:18:47	8093/8093	---M-Z	200	added ('OK')	text/css	date:Wed,%2001%20Dec%202021%2018:59:10%20GMT	https://almuzakki.or.id/css/lightslider.css	D:/Cloned%20Templates/orphanage-4/almuzakki.or.id/css/lightslider.css	(from https://almuzakki-or-id.translate.goog/?_x_tr_sl=auto&_x_tr_tl=en&_x_tr_hl=en&_x_tr_pto=wapp)
02:18:49	37427/37427	---M-Z	200	added ('OK')	text/css	date:Wed,%2001%20Dec%202021%2018:59:10%20GMT	https://almuzakki.or.id/css/sweetalert2.css	D:/Cloned%20Templates/orphanage-4/almuzakki.or.id/css/sweetalert2.css	(from https://almuzakki-or-id.translate.goog/?_x_tr_sl=auto&_x_tr_tl=en&_x_tr_hl=en&_x_tr_pto=wapp)
02:18:49	2218/2218	---M--	200	added ('OK')	image/png	date:Wed,%2001%20Dec%202021%2018:59:10%20GMT	https://almuzakki.or.id/image/al-muzakki.png	D:/Cloned%20Templates/orphanage-4/almuzakki.or.id/image/al-muzakki.png	(from https://almuzakki-or-id.translate.goog/?_x_tr_sl=auto&_x_tr_tl=en&_x_tr_hl=en&_x_tr_pto=wapp)
02:18:51	23476/23476	---MCZ	200	added ('OK')	text/html	date:Mon,%2031%20Jul%202023%2009:18:51%20GMT	https://almuzakki-or-id.translate.goog/index?_x_tr_sl=auto&_x_tr_tl=en&_x_tr_hl=en&_x_tr_pto=wapp	D:/Cloned%20Templates/orphanage-4/almuzakki-or-id.translate.goog/index1901-2.html	(from https://almuzakki-or-id.translate.goog/?_x_tr_sl=auto&_x_tr_tl=en&_x_tr_hl=en&_x_tr_pto=wapp)
02:18:52	12953/12953	---MCZ	200	added ('OK')	text/html	date:Mon,%2031%20Jul%202023%2009:18:52%20GMT	https://almuzakki-or-id.translate.goog/galerialmuzakki?_x_tr_sl=auto&_x_tr_tl=en&_x_tr_hl=en&_x_tr_pto=wapp	D:/Cloned%20Templates/orphanage-4/almuzakki-or-id.translate.goog/galerialmuzakki1901.html	(from https://almuzakki-or-id.translate.goog/?_x_tr_sl=auto&_x_tr_tl=en&_x_tr_hl=en&_x_tr_pto=wapp)
